Nazwa pliku,Lokalizacja,Opis
-Method,C:\Projekt_AI\backend_api\-Method,Duplikat pliku: py.typed
2025-08-22_rozmowa1.txt,C:\Projekt_AI\PROJEKT\komunikacja\2025-08-22_rozmowa1.txt,Duplikat pliku: py.typed
2025_imie.csv,C:\Projekt_AI\PROJEKT\strategia_inwestycyjna\Dokument IBKR archiwum\ibkr\2025_imie.csv,Duplikat pliku: py.typed
2026_mamoladowa.csv,C:\Projekt_AI\PROJEKT\strategia_inwestycyjna\Dokument IBKR archiwum\ibkr\2026_mamoladowa.csv,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\annotated_types-0.7.0.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\anyio-4.10.0.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\click-8.2.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\colorama-0.4.6.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\fastapi-0.116.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\h11-0.16.0.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\idna-3.10.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\pip-25.2.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\pydantic-2.11.7.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\pydantic_core-2.33.2.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\sniffio-1.3.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\starlette-0.47.2.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\typing_extensions-4.14.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\typing_inspection-0.4.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\.venv\Lib\site-packages\uvicorn-0.35.0.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\fastapi-0.116.1.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip-25.2.dist-info\REQUESTED,Duplikat pliku: py.typed
REQUESTED,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\uvicorn-0.35.0.dist-info\REQUESTED,Duplikat pliku: py.typed
asystent_log.txt,C:\Projekt_AI\logi_analizy\asystent_log.txt,Duplikat pliku: py.typed
frontend_log.txt,C:\Projekt_AI\logs\frontend_log.txt,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\anyio\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\click\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\fastapi\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\idna\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\cachecontrol\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\certifi\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\dependency_groups\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\distro\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\idna\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\packaging\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\platformdirs\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\resolvelib\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pip\_vendor\rich\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pydantic\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\pydantic_core\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\.venv\Lib\site-packages\sniffio\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\annotated_types\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\anyio\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\click\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\fastapi\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\idna\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\cachecontrol\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\certifi\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\dependency_groups\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\distro\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\idna\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\packaging\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\platformdirs\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\pyproject_hooks\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\resolvelib\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\rich\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pip\_vendor\truststore\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pydantic\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pydantic\v1\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\pydantic_core\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\sniffio\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\starlette\py.typed,Duplikat pliku: py.typed
py.typed,C:\Projekt_AI\backend_api\.venv\Lib\site-packages\typing_inspection\py.typed,Duplikat pliku: py.typed
raport_zbiorczy.csv,C:\Projekt_AI\logi_analizy\raport_zbiorczy.csv,Duplikat pliku: py.typed
raw,C:\Projekt_AI\PROJEKT\strategia_inwestycyjna\raw,Duplikat pliku: py.typed
sources.json,C:\Projekt_AI\PROJEKT\AI_trening\materials\index\sources.json,Duplikat pliku: py.typed
